gene	tree	count
KCNK10	transporter|ion channel|potassium channel|voltage-gated potassium channel	6
KCNK12	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNK13	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
KCNK15	transporter|ion channel|potassium channel|voltage-gated potassium channel	1
CSNK1D	transferase|kinase|protein kinase|non-receptor serine/threonine protein kinase	1
KCNK18	transporter|ion channel|potassium channel|voltage-gated potassium channel	6
SOAT1	transferase|acyltransferase	2
SOAT2	transferase|acyltransferase	1
KCNQ1	transporter|ion channel|potassium channel|voltage-gated potassium channel	11
KCNQ2	transporter|ion channel|potassium channel|voltage-gated potassium channel	9
BTK	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	6
KCNQ3	transporter|ion channel|potassium channel|voltage-gated potassium channel	7
KCNQ4	transporter|ion channel|potassium channel|voltage-gated potassium channel	6
KCNQ5	transporter|ion channel|potassium channel|voltage-gated potassium channel	5
KCTD12	enzyme modulator	5
TP53	transcription factor	5
CES1	hydrolase|esterase	11
KCTD16	enzyme modulator	5
CETP	defense/immunity protein|antibacterial response protein	4
AARS2	nucleic acid binding|RNA binding protein	1
LPAR1	receptor|G-protein coupled receptor	2
LPAR3	receptor|G-protein coupled receptor	1
NEU2	hydrolase	2
SEC14L2	transfer/carrier protein	1
SEC14L3	transfer/carrier protein	1
SEC14L4	transfer/carrier protein	1
NEU1	hydrolase	1
KCNN1	transporter|ion channel|potassium channel|voltage-gated potassium channel	6
KCNN2	transporter|ion channel|potassium channel|voltage-gated potassium channel	5
KCNN3	transporter|ion channel|potassium channel|voltage-gated potassium channel	6
KCNN4	transporter|ion channel|potassium channel|voltage-gated potassium channel	15
ATP6V1C1	transporter|cation transporter|ATP synthase	1
STAT5B	transcription factor	1
YES1	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	3
SLC10A1	transporter|cation transporter	4
PTK6	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	1
PTK2	transferase|kinase|protein kinase|non-receptor tyrosine protein kinase	4
BST1	lyase|cyclase	1
CYP26A1	oxidoreductase|oxygenase	1
POLA1	nucleic acid binding|nuclease|exodeoxyribonuclease	6
ALDH6A1	oxidoreductase|dehydrogenase	1
POLA2	nucleic acid binding|DNA binding protein|DNA-directed DNA polymerase	1
CALY	transmembrane receptor regulatory/adaptor protein	5
CALR	calcium-binding protein	1
LDHAL6A	oxidoreductase|dehydrogenase	1
LDHAL6B	oxidoreductase|dehydrogenase	1
DDR1	transferase|kinase|protein kinase|receptor tyrosine protein kinase	1
ACY3	hydrolase|protease|metalloprotease	1
COX7B	oxidoreductase|oxidase	1
ACY1	hydrolase|protease|metalloprotease	2
HIBADH	oxidoreductase|dehydrogenase	1
GRIK5	transporter|ion channel|ligand-gated ion channel|ionotropic glutamate receptor	4
